Nombre ,Fuente,Usuario,Subtema,Tono,Recursos,ENGAGEMENT,URL
0103-1,Página/Comunidad,Gamers CR,Salud,Humoroso,Meme,"3,034",https://www.facebook.com/gamerscr/posts/2516629941926353
0103-2,Ministerio,Ministerio de Salud,Salud,Informativo,Video,"2,655",https://www.facebook.com/msaludcr/posts/10163222062830137
0103-3,Gobierno,Casa Presidencial Costa Rica,Salud,Informativo,Video,"2,287",https://www.facebook.com/CasaPresidencial/posts/3566601566699644
0103-4,Organización Religiosa,Católico en Red,Religión,Esperanzador,Texto,"1,318",https://www.facebook.com/CatolicoEnRed/posts/2330284523947283
0103-5,Medio,Crhoy.com,Salud,Informativo,Link,"1,019",https://www.facebook.com/crhoy.comnoticias/posts/3766167866758886
0103-6,Medio,La Prensa Libre,Vuelos,Alerta,Link,469,https://www.facebook.com/laprensalibrecr/posts/2801414236610637
0103-7,Medio,Colosal Informa,Salud,Informativo,Video,361,https://www.facebook.com/ColosalInforma/posts/1895614107237233
0103-8,Figura Pública,Bloke El principe del Trap,Entretenimiento,Humoroso,Texto,314,https://www.facebook.com/blokedbm/posts/2974832632568901
0103-9,Página/Comunidad,Rebeldes Cycling Team,Deporte,Humoroso,Video,311,https://www.facebook.com/RebeldesMTBRuta/posts/1448913575275069
0103-10,Medio,Cariari Informa,Salud,Informativo,Video,263,https://www.facebook.com/CariariInforma/posts/1397653190417533
0203-1,Homeópata,Betesda Natural,Salud,Informativo,Foto,"3,001",https://www.facebook.com/BetesdaNatural/posts/2790811204338783
0203-2,Organización,Rescate Animal,Medio Ambiente y Animales,Informativo,Link,"2,824",https://www.facebook.com/RescateAnimalCR/posts/10157398161594912
0203-3,Página/Comunidad,Cosas que pasan en Costa Rica,Vida Cotidiana,Humoroso,Meme,"2,682",https://www.facebook.com/TenoCaGz/posts/2799899330093677
0203-4,Polítiques,José María Figueres Olsen,Vuelos,Informativo,Video,"2,583",https://www.facebook.com/Figuerescr/posts/10156827327816911
0203-5,Página/Comunidad,Cosas que pasan en Costa Rica,Salud,Humoroso,Meme,"2,013",https://www.facebook.com/TenoCaGz/posts/2800306946719582
